Weapon,Type,Tier,Min,Max,VSS,VSA
W5,Laser,D-,1273,1878.2,0.7,0.7
W5,Laser,D+,1297.9,1915.7,0.71,0.71
W5,Laser,C-,1323.9,1954.2,0.71,0.71
W5,Laser,C+,1352,1995.8,0.72,0.72
W5,Laser,B-,1381.1,2038.4,0.73,0.73
W5,Laser,B+,1411.3,2082.1,0.73,0.73
W5,Laser,A-,1441.4,2127.8,0.74,0.74
W5,Laser,A+,1472.6,2173.6,0.75,0.75
W6,Laser,D-,1959.3,2891.7,0.7,0.7
W6,Laser,D+,1984.5,2929.5,0.7,0.7
W6,Laser,C-,2010.8,2967.3,0.7,0.7
W6,Laser,C+,2036,3004.1,0.71,0.71
W6,Laser,B-,2060.1,3040.8,0.71,0.71
W6,Laser,B+,2084.3,3076.5,0.71,0.71
W6,Laser,A-,2108.4,3112.2,0.72,0.72
W6,Laser,A+,2132.6,3146.9,0.72,0.72
W7,Laser,D-,2005.5,3100.7,0.65,0.62
W7,Laser,D+,2005.5,3100.7,0.65,0.64
W7,Laser,C-,2061.2,3187.8,0.66,0.65
W7,Laser,C+,2125.2,3286.5,0.67,0.66
W7,Laser,B-,2185.1,3378.9,0.67,0.66
W7,Laser,B+,2241.8,3466.1,0.68,0.67
W7,Laser,A-,2296.4,3552.2,0.69,0.68
W7,Laser,A+,2351,3635.1,0.69,0.69
W8,Laser,D-,2530.2,3913.5,0.69,0.69
W8,Laser,D+,2530.2,3913.5,0.7,0.7
W8,Laser,C-,2530.2,3913.5,0.7,0.7
W8,Laser,C+,2530.2,3913.5,0.71,0.71
W8,Laser,B-,2581,3990.8,0.72,0.72
W8,Laser,B+,2642.9,4086.5,0.72,0.72
W8,Laser,A-,2705.8,4183.8,0.73,0.73
W8,Laser,A+,2769,4281.6,0.73,0.73
W9,Laser,D-,2539.6,4113.9,0.68,0.67
W9,Laser,D+,2580.5,4180.1,0.68,0.67
W9,Laser,C-,2622.3,4247.8,0.7,0.68
W9,Laser,C+,2664.7,4316.5,0.7,0.68
W9,Laser,B-,2707.4,4385.7,0.71,0.7
W9,Laser,B+,2750.4,4455.2,0.71,0.7
W9,Laser,A-,2793.3,4524.7,0.71,0.71
W9,Laser,A+,2836.1,4594.2,0.72,0.71
W0,Laser,D-,3022.4,4895.8,0.83,0.83
W0,Laser,D+,3082.6,4993.5,0.85,0.85
W0,Laser,C-,3145.5,5095.3,0.85,0.85
W0,Laser,C+,3210.7,5201,0.86,0.86
W0,Laser,B-,3277.7,5309.4,0.87,0.87
W0,Laser,B+,3345.6,5419.4,0.87,0.87
W0,Laser,A-,3413.8,5530,0.88,0.88
W0,Laser,A+,3482,5640.5,0.89,0.89
